id,title,publish_utc,sports_name,user_name,likes,views
236,The all new controversial IAAF testosterone ruling in women's athletics,2019-05-03 13:03:46,SportCo,Aravind Viswanath,0,59
237,Arsenal have one feet in the Europa League final while Chelsea get an away goal,2019-05-04 16:39:13,Football,Aravind Viswanath,0,59
238,Late drama at St James' Park sees Liverpool take the title race to the final day,2019-05-05 11:16:10,Football,Aravind Viswanath,0,49
239,James Harden takes matters on own hands to see off GSW's challenge in Game 3,2019-05-05 11:34:58,Basketball,Aravind Viswanath,0,71
240,Tracing the history of the iconic 'El Clasico' rivalry,2019-05-06 22:11:59,Football,Aravind Viswanath,0,102
241,Manchester City climb over Liverpool thanks to a screamer from captain Kompany,2019-05-06 22:12:45,Football,Aravind Viswanath,0,76
242,Three things to look out for in Liverpool vs Barcelona,2019-05-07 16:00:22,Football,Rishabh Tiwari,0,72
243,Liverpool thrash Messi's Barcelona to storm through to the Champions League final,2019-05-08 21:44:52,Football,Aravind Viswanath,0,44
244,Tottenham stun Ajax in a remarkable comeback and march on to the UCL final,2019-05-08 21:45:35,Football,Aravind Viswanath,0,52
245,Lionel Messi: Football's undisputed prince,2019-05-24 16:17:59,Football,Srinivasan Alagendran,1,39
246,Arsenal pummel Valencia to reach the Europa League final,2019-05-10 05:53:39,Football,Aravind Viswanath,0,53
247,Chelsea edge past Eintracht Frankfurt and qualify for the UEL final,2019-05-10 05:53:48,Football,Aravind Viswanath,0,69
248,Roger Federer clinches 1200th career triumph after beating Gael Monfils,2019-05-10 17:03:34,Tennis,Aravind Viswanath,0,58
249,Golden State Warriors seal Western Conference finals place,2019-05-11 19:53:04,Basketball,Aravind Viswanath,0,54
250,Djokovic gets past Dominic Thiem to reach the Madrid Open final,2019-05-11 19:54:15,Tennis,Aravind Viswanath,0,52
251,Lewis Hamilton reigns supreme at the Spanish Grand Prix,2019-05-12 16:19:11,F1,Aravind Viswanath,0,839
252,Manchester City pip Liverpool to lift the English Premier League 2018-19,2019-05-12 16:19:50,Football,Aravind Viswanath,0,74
253,Portland blazes past Nuggets to set up a Western Conference Finals clash with the Warriors,2019-05-13 12:07:50,Basketball,Aravind Viswanath,0,56
254,Djokovic beats Tsitsipas to win his 3rd Madrid Open title,2019-05-13 12:08:50,Tennis,Aravind Viswanath,0,73
255,Kawhi Leonard's buzzer beater sends Raptors to the Eastern Conference Finals,2019-05-14 18:52:20,Basketball,Aravind Viswanath,0,63
256,Mumbai are IPL 2019 champions after a thrilling win against Dhoni's CSK,2019-05-14 18:53:13,Cricket,Aravind Viswanath,0,34
257,Warriors thrash Trailblazers in Game 1 of the Western Conference Finals,2019-05-15 18:45:19,Basketball,Aravind Viswanath,0,40
258,Igor Stimac appointed as the new head coach of the Indian football team,2019-05-15 18:46:46,Football,Aravind Viswanath,0,58
259,Bucks' late comeback ensures Game 1 win over Raptors in the Eastern Conference Finals,2019-05-17 06:17:48,Basketball,Aravind Viswanath,0,27
260,Bairstow powers England to its second-highest ODI run chase,2019-05-17 06:18:46,Cricket,Aravind Viswanath,0,55
261,Curry inspires Warriors to a 2-0 lead over Portland in the Western Conference Finals,2019-05-17 12:42:16,Basketball,Aravind Viswanath,0,44
262,Juventus sack Massimiliano Allegri,2019-05-17 12:41:29,Football,Aravind Viswanath,0,67
264,Bucks thrash Raptors in Game 2 of NBA Eastern Conference Finals,2019-05-18 10:51:17,Basketball,Aravind Viswanath,0,45
265,Nadal steamrolls Verdasco over to reach Rome Masters semifinal,2019-05-18 10:50:20,Tennis,Aravind Viswanath,0,62
266,Warriors race to a 3-0 lead over Trail Blazers in the Western Conference Finals,2019-05-19 12:08:58,Basketball,Aravind Viswanath,0,50
267,Djokovic to clash with Nadal in the Rome Masters Final,2019-05-19 12:10:26,Tennis,Aravind Viswanath,0,66
268,Rafael Nadal crowned as champion at the Rome Masters for the ninth time,2019-05-20 15:36:03,Tennis,Aravind Viswanath,0,829
